Date,Sport,Event,Time,Additional details,Location,Closest Metro,Start time
August 4,badminton,doubles medal matches - men's,1500-1730,,stade pierre de coubertin,porte de vincennes (metro 1),15:00
August 4,handball,preliminaries - men's,0900-1230,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),09:00
August 4,handball,preliminaries - men's,1400-1730,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),14:00
August 4,handball,preliminaries - men's,1900-2230,2 matches,stade pierre de coubertin,porte de vincennes (metro 1),19:00
August 4,athletics,3000m steeplechase round 1 - women's,1005,,stade de france,stade de france - saint-denis (rer d),10:05
August 4,athletics,hammer throw qualification a - women's,1020,,stade de france,stade de france - saint-denis (rer d),10:20
August 4,athletics,200m round 1 - women's,1055,,stade de france,stade de france - saint-denis (rer d),10:55
August 4,athletics,long jump qualification - men's,1100,,stade de france,stade de france - saint-denis (rer d),11:00
August 4,athletics,hammer throw qualification b - women's,1145,,stade de france,stade de france - saint-denis (rer d),11:45
August 4,athletics,110m hurdles round 1 - men's,1150,,stade de france,stade de france - saint-denis (rer d),11:50
August 4,athletics,400m hurdles round 1 - women's,1235,,stade de france,stade de france - saint-denis (rer d),12:35
August 4,athletics,400m round 1 - men's,1905,,stade de france,stade de france - saint-denis (rer d),19:05
August 4,athletics,high jump final - women's,1950,,stade de france,stade de france - saint-denis (rer d),19:50
August 4,athletics,100m semis - men's,2000,,stade de france,stade de france - saint-denis (rer d),20:00
August 4,athletics,hammer throw final - men's,2030,,stade de france,stade de france - saint-denis (rer d),20:30
August 4,athletics,800m semis - women's,2035,,stade de france,stade de france - saint-denis (rer d),20:35
August 4,athletics,1500m semifinals - men's,2110,,stade de france,stade de france - saint-denis (rer d),21:10
August 4,athletics,100m final - men's,2150,,stade de france,stade de france - saint-denis (rer d),21:50
August 4,water polo,preliminary round - women's,1400-1700,,stade aquatique,stade de france - saint-denis (rer d),14:00
August 4,water polo,preliminary round - women's,1830-2130,,stade aquatique,stade de france - saint-denis (rer d),18:30
August 4,boxing,57kg quarterfinals - women's,1100-1325,,roland-garros stadium,porte d'auteuil (metro 10),11:00
August 4,boxing,"w 54kg, m 51kg, m 63.5kg, m 80kg, m 92kg semis",1100-1325,,roland-garros stadium,porte d'auteuil (metro 10),11:00
August 4,boxing,75kg quarterfinals - women's,1530-1755,,roland-garros stadium,porte d'auteuil (metro 10),15:30
August 4,boxing,"w 54kg, m 51kg, m 63.5kg, m 80kg, m 92kg semis",1530-1755,,roland-garros stadium,porte d'auteuil (metro 10),15:30
August 4,tennis,"w doubles bronze, gold medal finals, m singles gold medal final",1200-1900,court philippe chartrier,roland-garros stadium,porte d'auteuil (metro 10),12:00
August 4,table tennis,singles medal finals - men's,1330-1600,,porte de versailles exhibition centre,porte de versailles (metro 12),13:30
August 4,swimming,"w 50m free, m 1500m free, m 4x100m medley relay, w 4x100m medley relay finals",1830-2030,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),18:30
August 4,sailing,"m/w kite, m/w/mixed dinghy, mixed multihull",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
August 4,archery,individual eliminations - men's,0930-1115,,la defense arena (tentative),puteaux (metro 1),09:30
August 4,archery,individual medal rounds - men's,1300-1520,,la defense arena (tentative),puteaux (metro 1),13:00
August 4,shooting,25m rapid fire pistol qualification - men's,0900-1700,,la courneuve shooting range,la courneuve (metro 13),09:00
August 4,shooting,skeet qualification day 2 and finals - women's,0930-1705,,la courneuve shooting range,la courneuve (metro 13),09:30
August 4,volleyball,preliminary round - women's,0900-1130,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
August 4,volleyball,preliminary round - women's,1300-1530,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
August 4,volleyball,preliminary round - women's,1700-1930,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:00
August 4,volleyball,preliminary round - women's,2100-2330,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),21:00
August 4,fencing,"m foil team through semis, placement matches",1000-1710,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",10:00
August 4,fencing,foil team medal finals - men's,1910-2200,,grand palais éphémère,"franklin d. roosevelt (metro 9), if champs-élysées - clemenceau is closed",19:10
August 4,golf,golf round 4 (medal final) - men's,0900-1830,,golf national,guyancourt (rer c),09:00
August 4,beach volleyball,m/w round of 16,0900-1100,2 matches,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
August 4,beach volleyball,m/w round of 16,1300-1500,2 matches,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),13:00
August 4,beach volleyball,m/w round of 16,1700-1900,2 matches,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),17:00
August 4,beach volleyball,m/w round of 16,2100-2300,2 matches,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),21:00
August 4,equestrian,dressage grand prix freestyle ind. final,1000-1400,,château de versailles,versailles château - rive gauche (rer c),10:00
August 4,road cycling,road race - women's,1400-1845,,château de versailles,versailles château - rive gauche (rer c),14:00
August 4,artistic gymnastics,"m rings, w uneven bars, m vault finals",1500-1740,,bercy arena,bercy (metro 6),15:00
August 4,basketball,group phase (2 matches) - women's,1100-1515,2 matches,pierre mauroy stadium,lille,11:00
August 4,basketball,group phase (2 matches) - women's,1715-1900,1 match,pierre mauroy stadium,lille,17:15
August 4,basketball,group phase (2 matches) - women's,2100-2245,1 match,pierre mauroy stadium,lille,21:00
August 4,basketball 3x3,pool round - men's,1730-1930,4 matches,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),17:30
August 4,basketball 3x3,play-in round - men's,2130-2230,2 matches,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),21:30
August 5,canoe slalom,"m/w kayak cross semis, finals",1530-1730,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),15:30
August 5,wrestling,"m greco-roman 60kg, m greco-roman 130kg, w freestyle 68kg round of 16, quarters",1500-1700,,two locations – check official documentation,,15:00
August 5,wrestling,"m greco-roman 60kg, m greco-roman 130kg, w freestyle 68kg semis",2100-2200,,two locations – check official documentation,,21:00
August 5,hockey,quarters (2 matches) - women's,1000-1500,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),10:00
August 5,hockey,quarters (2 matches) - women's,1730-2230,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),17:30
August 5,badminton,singles medal matches - women's,0945-1230,,stade pierre de coubertin,porte de vincennes (metro 1),09:45
August 5,badminton,singles medal finals - men's,1430-1730,,stade pierre de coubertin,porte de vincennes (metro 1),14:30
August 5,athletics,400m hurdles round 1 - men's,1005,,stade de france,stade de france - saint-denis (rer d),10:05
August 5,athletics,discus throw qualification a - men's,1010,,stade de france,stade de france - saint-denis (rer d),10:10
August 5,athletics,pole vault qualification - women's,1040,,stade de france,stade de france - saint-denis (rer d),10:40
August 5,athletics,400m hurdles repechage - women's,1050,,stade de france,stade de france - saint-denis (rer d),10:50
August 5,athletics,400m repechage - men's,1120,,stade de france,stade de france - saint-denis (rer d),11:20
August 5,athletics,discus throw qualification b - men's,1135,,stade de france,stade de france - saint-denis (rer d),11:35
August 5,athletics,400m round 1 - women's,1155,,stade de france,stade de france - saint-denis (rer d),11:55
August 5,athletics,200m repechage - women's,1250,,stade de france,stade de france - saint-denis (rer d),12:50
August 5,athletics,pole vault final - men's,1900,,stade de france,stade de france - saint-denis (rer d),19:00
August 5,athletics,3000m steeplechase round 1 - men's,1904,,stade de france,stade de france - saint-denis (rer d),19:04
August 5,athletics,200m round 1 - men's,1955,,stade de france,stade de france - saint-denis (rer d),19:55
August 5,athletics,discus throw final - women's,2035,,stade de france,stade de france - saint-denis (rer d),20:35
August 5,athletics,200m semis - women's,2045,,stade de france,stade de france - saint-denis (rer d),20:45
August 5,athletics,5000m final - women's,2110,,stade de france,stade de france - saint-denis (rer d),21:10
August 5,athletics,800m final - women's,2145,,stade de france,stade de france - saint-denis (rer d),21:45
August 5,diving,10m platform preliminary - women's,1000-1210,,stade aquatique,stade de france - saint-denis (rer d),10:00
August 5,diving,10m platform semis - women's,1500-1700,,stade aquatique,stade de france - saint-denis (rer d),15:00
August 5,water polo,preliminary round (3 matches) - men's,1200-1630,,stade aquatique,stade de france - saint-denis (rer d),12:00
August 5,water polo,preliminary round (3 matches) - men's,1830-2300,,stade aquatique,stade de france - saint-denis (rer d),18:30
August 5,track cycling,"m team sprint qualifying, m team pursuit qualifying, w team sprint qualifying, first round, medal finals",1700-2020,,roland-garros stadium,porte d'auteuil (metro 10),17:00
August 5,table tennis,m/w team round of 16,1000-1300,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
August 5,table tennis,m/w team round of 16,1500-1800,,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
August 5,table tennis,m/w team round of 16,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
August 5,triathlon,mixed team relay final,0800-1010,,pont alexandre iii (start/finish),invalides (rer c and metro 13/8) or franklin d. roosevelt (metro 1/9). check ticket location and official website as bridge is closed. ,08:00
August 5,sport climbing,"m boulder/lead semis (boulder), w speed qualification",1000-1400,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),10:00
August 5,football,semifinals - men's,1800-2100,,multiple locations - check official documentation,,18:00
August 5,football,semifinals - men's,2100-0000,,multiple locations - check official documentation,,21:00
August 5,sailing,"m/w kite, m/w/mixed dinghy, mixed multihull",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
August 5,shooting,25m rapid fire pistol finals - men's,0930-1050,,la courneuve shooting range,la courneuve (metro 13),09:30
August 5,shooting,mixed team skeet qualification and finals,0900-1635,,la courneuve shooting range,la courneuve (metro 13),09:00
August 5,volleyball,m quarters,0900-1130,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
August 5,volleyball,m quarters,1300-1530,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
August 5,volleyball,m quarters,1700-1930,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:00
August 5,volleyball,m quarters,2100-2330,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),21:00
August 5,beach volleyball,m/w round of 16 (2 matches),0900-1100,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),09:00
August 5,beach volleyball,m/w round of 16 (2 matches),1300-1500,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),13:00
August 5,beach volleyball,m/w round of 16 (2 matches),1700-1900,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),17:00
August 5,beach volleyball,m/w round of 16 (2 matches),2100-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),21:00
August 5,equestrian,jumping ind. qualifier,1400-1800,,château de versailles,versailles château - rive gauche (rer c),14:00
August 5,artistic gymnastics,"m parallel bars, w balance beam, m horizontal bar, w floor finals",1145-1515,,bercy arena,bercy (metro 6),11:45
August 5,artistic swimming,team technical routine,1930-2100,,bercy arena,bercy (metro 6),19:30
August 5,basketball 3x3,m/w semis,1730-1930,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),17:30
August 5,basketball 3x3,m/w medal finals,2100-2330,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),21:00
August 6,canoe sprint,"m c2 500m, m k1 1000m, m k4 500m, w c2 500m, w k1 500m, w k4 500m heats and quarters",0930-1450,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 6,wrestling,"m greco-roman 60kg, m greco-roman 130kg, w freestyle 68kg repechage, m greco-roman 77kg, m greco-roman 97kg, w freestyle 50kg round of 16 and quarters",1100-1330,,two locations – check official documentation,,11:00
August 6,wrestling,"m greco-roman 77kg, m greco-roman 97kg, w freestyle 50kg semis, m greco-roman 60kg, m greco-roman 130kg, w freestyle 68kg medal finals",1815-2145,,two locations – check official documentation,,18:15
August 6,hockey,semifinals - men's,1400-1600,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),14:00
August 6,hockey,semifinals - men's,1900-2100,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),19:00
August 6,handball,quarters (2 matches) - women's,0930-1130,,stade pierre de coubertin,porte de vincennes (metro 1),09:30
August 6,handball,quarters (2 matches) - women's,1330-1530,,stade pierre de coubertin,porte de vincennes (metro 1),13:30
August 6,handball,quarters (2 matches) - women's,1730-1930,,stade pierre de coubertin,porte de vincennes (metro 1),17:30
August 6,handball,quarters (2 matches) - women's,2130-2330,,stade pierre de coubertin,porte de vincennes (metro 1),21:30
August 6,athletics,1500m round 1 - women's,1005,,stade de france,stade de france - saint-denis (rer d),10:05
August 6,athletics,javelin throw qualification a - men's,1020,,stade de france,stade de france - saint-denis (rer d),10:20
August 6,athletics,110m hurdles repechage - men's,1050,,stade de france,stade de france - saint-denis (rer d),10:50
August 6,athletics,long jump qualification - women's,1115,,stade de france,stade de france - saint-denis (rer d),11:15
August 6,athletics,400m repechage - women's,1120,,stade de france,stade de france - saint-denis (rer d),11:20
August 6,athletics,javelin throw qualification b - men's,1150,,stade de france,stade de france - saint-denis (rer d),11:50
August 6,athletics,m 400m hurdles repechage,1200,,stade de france,stade de france - saint-denis (rer d),12:00
August 6,athletics,200m repechage - men's,1230,,stade de france,stade de france - saint-denis (rer d),12:30
August 6,athletics,400m semifinals - men's,1935,,stade de france,stade de france - saint-denis (rer d),19:35
August 6,athletics,hammer throw final - women's,1955,,stade de france,stade de france - saint-denis (rer d),19:55
August 6,athletics,400m hurdles semifinals - women's,2007,,stade de france,stade de france - saint-denis (rer d),20:07
August 6,athletics,long jump final - men's,2015,,stade de france,stade de france - saint-denis (rer d),20:15
August 6,athletics,1500m final - men's,2050,,stade de france,stade de france - saint-denis (rer d),20:50
August 6,athletics,w 3000m steeplechase final,2110,,stade de france,stade de france - saint-denis (rer d),21:10
August 6,athletics,200m final - women's,2140,,stade de france,stade de france - saint-denis (rer d),21:40
August 6,diving,3m springboard preliminary - men's,1000-1200,,stade aquatique,stade de france - saint-denis (rer d),10:00
August 6,diving,10m platform final - women's,1500-1700,,stade aquatique,stade de france - saint-denis (rer d),15:00
August 6,water polo,quarters (2 matches) - women's,1400-1700,,stade aquatique,stade de france - saint-denis (rer d),14:00
August 6,water polo,quarters (2 matches) - women's,1900-2200,,stade aquatique,stade de france - saint-denis (rer d),19:00
August 6,boxing,"w 50kg, w 66kg, m 71kg semis, w 60kg final",2130-2330,,roland-garros stadium,porte d'auteuil (metro 10),21:30
August 6,track cycling,"m team sprint first round, medal finals, m team pursuit first round, w team pursuit qualifying",1730-2030,,roland-garros stadium,porte d'auteuil (metro 10),17:30
August 6,table tennis,m/w team round of 16,1000-1300,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
August 6,table tennis,m/w team quarters,1500-1800,,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
August 6,table tennis,m/w team quarters,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
August 6,sport climbing,"w boulder/lead semis (boulder), m speed qualification",1000-1400,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),10:00
August 6,football,semifinals - women's,1800-2100,,multiple locations - check official documentation,,18:00
August 6,football,semifinals - women's,2100-0000,,multiple locations - check official documentation,,21:00
August 6,sailing,"m/w dinghy medal races, m/w kite, mixed dinghy, mixed multihull",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
August 6,skateboard,park preliminaries - women's,1230-1600,,la courneuve shooting range,la courneuve (metro 13),12:30
August 6,skateboard,park medal final - women's,1730-1900,,la courneuve shooting range,la courneuve (metro 13),17:30
August 6,volleyball,quarters (2 matches) - women's,0900-1130,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),09:00
August 6,volleyball,quarters (2 matches) - women's,1300-1530,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),13:00
August 6,volleyball,quarters (2 matches) - women's,1700-1930,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),17:00
August 6,volleyball,quarters (2 matches) - women's,2100-2330,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),21:00
August 6,beach volleyball,m/w quarters (2 matches),1700-1900,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),17:00
August 6,beach volleyball,m/w quarters (2 matches),2100-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),21:00
August 6,equestrian,jumping ind. final,1000-1230,,château de versailles,versailles château - rive gauche (rer c),10:00
August 6,artistic swimming,team free routine,1930-2100,,bercy arena,bercy (metro 6),19:30
August 6,basketball,m quarters,1100-1300,,bercy arena,bercy (metro 6),11:00
August 6,basketball,m quarters,1430-1630,,bercy arena,bercy (metro 6),14:30
August 6,basketball,m quarters,1800-2000,,bercy arena,bercy (metro 6),18:00
August 6,basketball,m quarters,2130-2330,,bercy arena,bercy (metro 6),21:30
August 7,canoe sprint,"m c1 1000m, m k2 500m, w c1 200m, w k2 500m heats and quarters",0930-1510,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),09:30
August 7,wrestling,"m greco-roman 77kg, m greco-roman 97kg, w freestyle 50kg repechage, m greco-roman 67kg, m greco-roman 87kg, w freestyle 53kg round of 16 and quarters",1100-1330,,two locations – check official documentation,,11:00
August 7,wrestling,"m greco-roman 67kg, m greco-roman 87kg, w freestyle 53kg semis, m greco-roman 77kg, m greco-roman 97kg, w freestyle 50kg medal finals",1815-2145,,two locations – check official documentation,,18:15
August 7,hockey,semifinals - women's,1400-1600,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),14:00
August 7,hockey,semifinals - women's,1900-2100,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),19:00
August 7,handball,m quarters,0930-1130,,stade pierre de coubertin,porte de vincennes (metro 1),09:30
August 7,handball,m quarters,1330-1530,,stade pierre de coubertin,porte de vincennes (metro 1),13:30
August 7,handball,m quarters,1730-1930,,stade pierre de coubertin,porte de vincennes (metro 1),17:30
August 7,handball,m quarters,2130-2330,,stade pierre de coubertin,porte de vincennes (metro 1),21:30
August 7,athletics,marathon race walk mixed relay final,0730-1050,,stade de france,stade de france - saint-denis (rer d),07:30
August 7,athletics,high jump qualification - men's,1005,,stade de france,stade de france - saint-denis (rer d),10:05
August 7,athletics,100m hurdles round 1 - women's,1015,,stade de france,stade de france - saint-denis (rer d),10:15
August 7,athletics,javelin throw qualification a - women's,1025,,stade de france,stade de france - saint-denis (rer d),10:25
August 7,athletics,5000m round 1 - men's,1100,,stade de france,stade de france - saint-denis (rer d),11:00
August 7,athletics,800m round 1 - men's,1145,,stade de france,stade de france - saint-denis (rer d),11:45
August 7,athletics,javelin throw qualification b - women's,1150,,stade de france,stade de france - saint-denis (rer d),11:50
August 7,athletics,1500m repechage - women's,1235,,stade de france,stade de france - saint-denis (rer d),12:35
August 7,athletics,pole vault final - women's,1900,,stade de france,stade de france - saint-denis (rer d),19:00
August 7,athletics,110m hurdles semifinals - men's,1905,,stade de france,stade de france - saint-denis (rer d),19:05
August 7,athletics,triple jump qualification - men's,1915,,stade de france,stade de france - saint-denis (rer d),19:15
August 7,athletics,400m hurdles semifinals - men's,1935,,stade de france,stade de france - saint-denis (rer d),19:35
August 7,athletics,200m semifinals - men's,2002,,stade de france,stade de france - saint-denis (rer d),20:02
August 7,athletics,discus throw final - men's,2025,,stade de france,stade de france - saint-denis (rer d),20:25
August 7,athletics,400m semifinals - women's,2045,,stade de france,stade de france - saint-denis (rer d),20:45
August 7,athletics,400m final - men's,2120,,stade de france,stade de france - saint-denis (rer d),21:20
August 7,athletics,3000m steeplechase final - men's,2140,,stade de france,stade de france - saint-denis (rer d),21:40
August 7,diving,3m springboard semifinals - men's,1000-1200,,stade aquatique,stade de france - saint-denis (rer d),10:00
August 7,diving,3m springboard preliminary - women's,1500-1700,,stade aquatique,stade de france - saint-denis (rer d),15:00
August 7,water polo,m quarters (2 matches),1400-1700,,stade aquatique,stade de france - saint-denis (rer d),14:00
August 7,water polo,m quarters (2 matches),1900-2200,,stade aquatique,stade de france - saint-denis (rer d),19:00
August 7,boxing,"w 57kg, m +92kg semis, m 63.5kg, m 80kg final",2130-2330,,roland-garros stadium,porte d'auteuil (metro 10),21:30
August 7,track cycling,"m sprint qualifying, early rounds, repechage rounds, w keirin first round, repechage, w team pursuit first round",1245-1545,,roland-garros stadium,porte d'auteuil (metro 10),12:45
August 7,track cycling,"m sprint early rounds, repechage rounds, m team pursuit medal finals, w team pursuit medal finals",1730-2025,,roland-garros stadium,porte d'auteuil (metro 10),17:30
August 7,table tennis,m/w team quarters,1000-1300,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
August 7,table tennis,m/w team quarters,1500-1800,,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
August 7,table tennis,team semifinals - men's,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
August 7,sport climbing,"m boulder/lead semis (lead), w speed medal finals",1000-1315,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),10:00
August 7,sailing,"mixed dinghy, mixed multihull medal races, m/w kite",1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
August 7,weightlifting,men's 61kg final,1500-1730,,le bourget exhibition centre,le bourget (rer b),15:00
August 7,weightlifting,49kg final - women's,1930-2200,,le bourget exhibition centre,le bourget (rer b),19:30
August 7,skateboard,park preliminaries - men's,1230-1600,,la courneuve shooting range,la courneuve (metro 13),12:30
August 7,skateboard,park medal final - men's,1730-1900,,la courneuve shooting range,la courneuve (metro 13),17:30
August 7,volleyball,semifinals - men's,1600-1830,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),16:00
August 7,volleyball,semifinals - men's,2000-2230,,hall 6 exhibition centre paris-le bourget,le bourget (rer b),20:00
August 7,golf,golf round 1 - women's,0900-1800,,golf national,guyancourt (rer c),09:00
August 7,beach volleyball,m/w quarters (2 matches),1700-1900,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),17:00
August 7,beach volleyball,m/w quarters (2 matches),2100-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),21:00
August 7,taekwondo,"m 58kg, w 49kg qualification rounds",0900-1230,,champ de mars arena,ecole militaire (metro 8),09:00
August 7,taekwondo,"m 58kg, w 49kg quarters, semis",1430-1730,,champ de mars arena,ecole militaire (metro 8),14:30
August 7,taekwondo,"m 58kg, w 49kg repechage rounds and medal finals",1930-2300,,champ de mars arena,ecole militaire (metro 8),19:30
August 7,artistic swimming,team acrobatic routine (medal final),1930-2115,,bercy arena,bercy (metro 6),19:30
August 7,basketball,quarters (2 matches) - women's,1100-1300,,bercy arena,bercy (metro 6),11:00
August 7,basketball,quarters (2 matches) - women's,1430-1630,,bercy arena,bercy (metro 6),14:30
August 7,basketball,quarters (2 matches) - women's,1800-2000,,bercy arena,bercy (metro 6),18:00
August 7,basketball,quarters (2 matches) - women's,2130-2330,,bercy arena,bercy (metro 6),21:30
August 8,canoe sprint,"m c2 500m, m k4 500m, w c2 500m, w k4 500m semis and finals",1030-1430,,vaires-sur-marne nautical stadium,vaires (transilien paris-est),10:30
August 8,hockey,bronze-medal game - men's,1400-1600,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),14:00
August 8,hockey,gold-medal game - men's,1900-2130,,stade roland garros (court suzanne lenglen),porte d'auteuil (metro 10),19:00
August 8,handball,semifinals - women's,1630-1830,,stade pierre de coubertin,porte de vincennes (metro 1),16:30
August 8,handball,semifinals - women's,2130-2330,,stade pierre de coubertin,porte de vincennes (metro 1),21:30
August 8,athletics,heptathlon 100m hurdles - women's,1005,,stade de france,stade de france - saint-denis (rer d),10:05
August 8,athletics,shot put qualification - women's,1025,,stade de france,stade de france - saint-denis (rer d),10:25
August 8,athletics,100m hurdles repechage - women's,1035,,stade de france,stade de france - saint-denis (rer d),10:35
August 8,athletics,heptathlon high jump - women's,1105,,stade de france,stade de france - saint-denis (rer d),11:05
August 8,athletics,4x100m relay round 1 - women's,1110,,stade de france,stade de france - saint-denis (rer d),11:10
August 8,athletics,4x100m relay round 1 - men's,1135,,stade de france,stade de france - saint-denis (rer d),11:35
August 8,athletics,800m repechage - men's,1200,,stade de france,stade de france - saint-denis (rer d),12:00
August 8,athletics,heptathlon shot put - women's,1935,,stade de france,stade de france - saint-denis (rer d),19:35
August 8,athletics,1500m semis - women's,1935,,stade de france,stade de france - saint-denis (rer d),19:35
August 8,athletics,long jump final - women's,2000,,stade de france,stade de france - saint-denis (rer d),20:00
August 8,athletics,javelin throw final - men's,2025,,stade de france,stade de france - saint-denis (rer d),20:25
August 8,athletics,200m final - men's,2030,,stade de france,stade de france - saint-denis (rer d),20:30
August 8,athletics,heptathlon 200m - women's,2055,,stade de france,stade de france - saint-denis (rer d),20:55
August 8,athletics,400m hurdles final - women's,2125,,stade de france,stade de france - saint-denis (rer d),21:25
August 8,athletics,110m hurdles final - men's,2145,,stade de france,stade de france - saint-denis (rer d),21:45
August 8,diving,3m springboard semifinals - women's,1000-1200,,stade aquatique,stade de france - saint-denis (rer d),10:00
August 8,diving,3m springboard final - men's,1500-1700,,stade aquatique,stade de france - saint-denis (rer d),15:00
August 8,boxing,"w 75kg, m 57kg semis, w 54kg, m 51kg final",2130-2330,,roland-garros stadium,porte d'auteuil (metro 10),21:30
August 8,track cycling,"m sprint quarters, classification races, m omnium (medal final), w keirin",,,roland-garros stadium,porte d'auteuil (metro 10),:
August 8,table tennis,team semifinals - men's,1000-1300,,porte de versailles exhibition centre,porte de versailles (metro 12),10:00
August 8,table tennis,team semifinals - women's,1500-1800,,porte de versailles exhibition centre,porte de versailles (metro 12),15:00
August 8,table tennis,team semifinals - women's,2000-2300,,porte de versailles exhibition centre,porte de versailles (metro 12),20:00
August 8,sport climbing,"w boulder/lead semis (lead), m speed medal finals",1000-1315,,place de la concorde,palais royal-musée du louvre (metro 1/7) closed 3-4 august. second best: auber (rer),10:00
August 8,marathon swimming,10km marathon final - women's,0730-1030,,pont alexandre iii,invalides (rer c and metro 13/8) or franklin d. roosevelt (metro 1/8). check ticket location and official website as bridge is closed. ,07:30
August 8,football,bronze-medal game - men's,1700-2000,,multiple locations - check official documentation,,17:00
August 8,sailing,m/w kite medal series,1200-1900,,marseille marina,vieux-port - hôtel de ville (metro 1),12:00
August 8,golf,golf round 2 - women's,0900-1800,,golf national,guyancourt (rer c),09:00
August 8,beach volleyball,m/w semis (2 matches),1700-1900,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),17:00
August 8,beach volleyball,m/w semis (2 matches),2100-2300,,eiffel tower beach volleyball stadium,bir-hakeim (metro 6),21:00
August 8,modern pentathlon,m/w fencing ranking round,1100-1730,,château de versailles,versailles château - rive gauche (rer c),11:00
August 8,rhythmic gymnastics,ind. all-around qualification,1000-1300,,château de versailles,versailles château - rive gauche (rer c),10:00
August 8,rhythmic gymnastics,ind. all-around qualification,1500-1800,,château de versailles,versailles château - rive gauche (rer c),15:00
August 8,taekwondo,"m 68kg, w 57kg qualification rounds",0900-1230,,champ de mars arena,ecole militaire (metro 8),09:00
August 8,taekwondo,"m 68kg, w 57kg quarters, semis",1430-1730,,champ de mars arena,ecole militaire (metro 8),14:30
August 8,taekwondo,"m 68kg, w 57kg repechage rounds and medal finals",1930-2300,,champ de mars arena,ecole militaire (metro 8),19:30
August 8,basketball,semifinals - men's,1730-1930,,bercy arena,bercy (metro 6),17:30
August 8,basketball,semifinals - men's,2100-2300,,bercy arena,bercy (metro 6),21:00
August 8,weightlifting,59kg final - women's,1500-1730,,le bourget exhibition centre,le bourget (rer b),15:00
